관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3040000-101-2015-00297,건대통골뱅이, 화양동,3040000.0,서울특별시 광진구 능동로13길 81 1층 (화양동),"맥주,호프","월/18:00 - 새벽 01:00
화/18:00 - 새벽 01:00
수/18:00 - 새벽 01:00
목/18:00 - 새벽 01:00
금/18:00 - 새벽 01:00
토/18:00 - 새벽 01:00
일/18:00 - 새벽 01:00
","통골뱅이탕 중(2인) : 35,000원
통골뱅이탕 대(3~4인) : 45,000원
통골뱅이구이 : 35,000원
생골뱅이무침 : 28,000원
골뱅이(생)무침+계란찜+오뎅탕 : 33,000원
통골뱅이추가 : 18,000원
통골뱅이+골뱅이무침+계란찜 : 65,000원
",02-465-6867
3210000-101-2001-15899,마실, 반포동,3210000.0,서울특별시 서초구 신반포로 326-13 1층 (반포동),요리주점,"매일/17:00 - 새벽 03:00
","국물해물토마토스튜 : 32,000원
국물닭발 : 20,000원
돼지고추장찌개 : 22,000원
",02-540-7057
3110000-101-1983-01892,중국관, 구산동,3110000.0,서울특별시 은평구 서오릉로 227 (구산동),중식당,"월/09:00 - 21:00
화/정기휴무 (매주 화요일)
수/09:00 - 21:00
목/09:00 - 21:00
금/09:00 - 21:00
토/09:00 - 21:00
일/09:00 - 21:00
","짜장면 : 6,500원
짬뽕 : 7,500원
고추잡채밥 : 9,500원
탕수육(小) : 18,000원
탕수육(中) : 23,000원
탕수육(大) : 28,000원
양장피 : 31,000원
얼큰차돌짬뽕 : 10,000원
물냉면(보통) : 7,500원
물냉면(곱배기) : 8,500원
비빔냉면(보통) : 7,500원
비빔냉면(곱배기) : 8,500원
콩국수(보통) : 8,000원
새우탕수육+짜장1 : 22,000원
깐쇼새우+짜장2 : 31,000원
깐쇼새우 +얼큰차돌짬뽕1 : 31,000원
깐풍새우+짜장2 : 31,000원
깐풍새우+짜+짬뽕 : 31,000원
탕수육+짜장1 : 18,000원
탕수육 +짜장2 : 22,000원
탕수육 +쟁반짜장1 : 19,000원
탕수육 +쟁반짜장2인 : 24,000원
사천탕수육+짜장2 : 24,000원
짜장면 : 6,500원
짬뽕 : 7,500원
우동 : 7,500원
간짜장 : 7,500원
울면 : 7,500원
볶음밥 : 8,000원
짜장밥 : 8,000원
짬뽕밥 : 8,000원
육개장 : 8,000원
갈비탕 : 8,000원
탕수육(小) : 18,000원
탕수육(大) : 28,000원
탕수육(中) : 23,000원
사천탕수육 : 26,000원
잡채 : 21,000원
짬짜면 : 7,500원
볶짜면 : 8,500원
볶짬면 : 8,500원
탕짜면 : 9,500원
탕짬면 : 9,500원
콜라 소 : 2,000원
콜라1.25 : 3,000원
짬뽕국물소(1공기) : 1,000원
짬뽕국물 대(1그릇) : 2,000원
",02-359-1119
3120000-101-2015-00245,오픈, 홍은동,3120000.0,서울특별시 서대문구 홍은중앙로 37 1층 (홍은동),요리주점,"매일/17:00 - 새벽 02:00
","낙곱새 : 25,000원
",010-6439-6866
3040000-101-2021-00067,버텍스건대, 군자동,3040000.0,서울특별시 광진구 광나루로 361 제지1층 101호주방4호 (군자동 광진 동양파라곤 1단지),퓨전음식,"월/11:00 - 새벽 00:30
화/11:00 - 새벽 00:30
수/11:00 - 새벽 00:30
목/11:00 - 새벽 00:30
금/11:00 - 새벽 00:30
토/11:00 - 새벽 00:30
일/11:00 - 21:20
","미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(SMALL) : 7,000원
미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(REGULAR) : 9,500원
미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(LARGE) : 12,000원
미국식 새우 닭고기 덮밥 (COMBO BOWL) 도시락(SMALL (새우 2개)) : 9,000원
미국식 새우 닭고기 덮밥 (COMBO BOWL) 도시락(REGULAR (새우 4개)) : 13,500원
미국식 새우 닭고기 덮밥 (COMBO BOWL) 도시락(LARGE (새우 6개)) : 18,000원
라이너스 BBQ 풀드 포크 덮밥(REGULAR) : 14,000원
스타시티/갤러리아포레/트리마제/아크로포레스트(할증요금) : 1,000원
생각공장/워커힐호텔/강변테크노마트(할증요금) : 1,000원
라이너스 BBQ 풀드 포크 덮밥(REGULAR) : 14,000원
미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(SMALL) : 7,000원
미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(REGULAR) : 9,500원
미국식 닭고기 덮밥 (CHICKEN BOWL) 도시락(LARGE) : 12,000원
미국식 새우 닭고기 덮밥 (COMBO BOWL) 도시락(SMALL (새우 2개)) : 9,000원
버텍스 1인 세트메뉴(1인분) : 11,500원
CHICKEN(치킨 추가)(100g) : 3,000원
SHRIMP(새우 추가)(1pc) : 1,200원
VEGGIES(야채 추가)(100g) : 1,100원
FRIED RICE(볶음밥 추가)(200g) : 3,000원
RICE(밥 추가)(150g) : 1,000원
코카콜라 : 2,000원
제로콜라 : 2,500원
스프라이트 : 2,000원
닥터페퍼 : 2,000원
웰치스(포도) : 2,000원
",02-469-9992
3130000-101-2022-00646,주르메스, 서교동,3130000.0,서울특별시 마포구 양화로16길 30-5 1층 (서교동),한식,"월/18:00 - 새벽 06:50
화/18:00 - 새벽 06:50
수/18:00 - 새벽 06:50
목/18:00 - 새벽 06:50
금/18:00 - 새벽 06:50
토/18:00 - 새벽 06:50
일/18:00 - 새벽 01:00
","건대 꼼장어 1등출신 : 22,000원
동대문 양념막창 : 18,000원
동대문 알곱창 : 15,000원
쌈겹살 : 17,000원
순두부찌개 : 7,000원
큐브 스테이크 : 22,000원
동대문 소금막창 : 18,000원
동대문 껍데기볶음 : 13,000원
계란말이 : 12,000원
부추새우전 : 10,000원
오리 훈제 : 15,000원
황제 어묵탕 : 20,000원
참치마요 김가루밥 : 5,000원
알마니 김가루밥 : 5,000원
떡볶이 : 5,000원
",010-9199-8933
3120000-101-2022-00223,다래칼국수, 홍은동,3120000.0,서울특별시 서대문구 가좌로 141 2층 (홍은동),"칼국수,만두","월/10:00 - 20:30
화/10:00 - 20:30
수/10:00 - 20:30
목/10:00 - 20:30
금/10:00 - 20:30
토/10:00 - 20:30
일/정기휴무 (매주 일요일)
","해물칼국수 : 8,500원
바지락칼국수 : 8,000원
만두전골(중) : 20,000원
만두전골(대) : 27,000원
만두국 : 8,000원
떡만두국 : 8,000원
떡국 : 80,008,000원
왕만두 : 8,000원
비빔밥 : 8,000원
",02-376-9272
3020000-101-2012-00118,용산양꼬치, 한강로1가,3020000.0,서울특별시 용산구 백범로99길 60 1층 (한강로1가),양꼬치,"월/11:30 - 22:40
화/11:30 - 22:40
수/11:30 - 22:40
목/11:30 - 22:40
금/11:30 - 22:40
토/11:30 - 22:40
일/정기휴무 (매주 일요일)
","양꼬치 : 15,000원
등심왕꼬치 : 23,000원
고급양갈비 : 28,000원
양다리통구이 : 변동
",02-749-9088
3220000-101-2019-00654,헤이그린스, 역삼동,3220000.0,서울특별시 강남구 테헤란로20길 25 1층 (역삼동),"다이어트,샐러드","월/08:30 - 23:00
화/08:30 - 23:00
수/08:30 - 23:00
목/08:30 - 23:00
금/08:30 - 23:00
토/10:00 - 20:00
일/10:00 - 20:00
","리얼에코 샐러드 (100% 친환경) : 7,500원
닭가슴살 샐러드 (무항생제) : 10,500원
이베리코 목살 샐러드 : 12,000원
훈제 연어 샐러드 (안전한 ASC 인증) : 13,500원
두부 리코타 치즈 샐러드 (세프메이드) : 11,500원
하몽 샐러드 (120년 전통 스페인 농장 직수입) : 11,500원
구운 야채 샐러드 (유기농, 무농약 채소) : 11,500원
키토 샐러드 (저탄고지 식단) : 14,000원
와규 샐러드 (고소한 즉석구이 와규, 청정 호주산) : 13,000원
",070-7576-4062
3180000-101-2019-00156,백암왕순대, 여의도동,3180000.0,서울특별시 영등포구 여의나루로 117 지하1층 1호 (여의도동),"순대,순댓국",등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-761-7545
