관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3160000-101-2016-00064,잉치킨, 고척동,3160000.0,서울특별시 구로구 고척로 239 1층 102호 (고척동),"치킨,닭강정","매일/12:00 - 새벽 03:00
","크리스피 치킨 : 9,500원
양념치킨 : 10,500원
파닭 : 12,500원
파뱅이치킨 : 16,500원
반반치킨 : 10,500원
간장치킨 : 11,000원
불닭 : 11,500원
로스트치킨 : 8,900원
데리갈릭치킨 : 10,500원
바베큐 치킨 : 10,500원
치즈칠리로스트 : 10,900원
",02-2060-0443
3040000-101-1996-05669,엄마의손맛, 중곡동,3040000.0,서울특별시 광진구 천호대로127길 8 1층 (중곡동),한식,등록된 영업시간이 없습니다.,"갈치조림 : 9,000원
고등어조림 : 8,000원
돼지불백 : 8,000원
순두부 : 7,000원
고등어구이 : 9,000원
",02-456-4496
3110000-101-2022-00172,싸움의고수, 갈현동,3110000.0,서울특별시 은평구 갈현로33길 12 1층 (갈현동),"족발,보쌈","매일/11:00 - 22:00/21:30 라스트오더
","1인보쌈M : 9,700원
1인삼겹살M : 10,000원
1인대패M(시즌메뉴) : 8,900원
1인대패L(시즌메뉴) : 10,900원
1인 싸움대패M : 9,900원
1인 싸움대패L : 11,900원
1인 간장대패M : 9,900원
1인 간장대패L : 11,900원
마늘보쌈M : 10,700원
싸움보쌈M : 10,700원
간장보쌈M : 10,700원
싸움삼겹살M : 11,000원
간장삼겹살M : 11,000원
1인족발M : 10,500원
마늘족발M : 11,500원
",02-6014-4949
3150000-101-2020-00201,샐러드식당, 등촌동,3150000.0,서울특별시 강서구 등촌로 83 1층 (등촌동),"다이어트,샐러드","매일/10:00 - 21:00/14:00 - 16:00 브레이크타임
","쓰리베리 요거트N : 4,500원
열대과일 요거트N : 4,800원
플레인 요거트N : 3,800원
훈제 오리 샐러드N : 11,800원
돈까스 샐러드N : 10,800원
통마늘 떡갈비 샐러드N : 12,400원
양송이 스프N : 5,900원
우삼겹 메밀면 샐러드N : 11,800원
겉바속촉 두부 샐러드인기대표 : 9,800원
상큼 샐러드 스파게티인기대표 : 9,800원
소이 머쉬룸 샐러드대표 : 9,800원
무화과 리코타 샐러드대표 : 12,400원
상큼 샐러드 스파게티인기대표 : 9,800원
토마토 마리네이드 샐러드대표 : 10,800원
구운 야채 샐러드대표 : 11,200원
겉바속촉 두부 샐러드인기대표 : 9,800원
갈릭 쉬림프 샐러드대표 : 12,400원
치킨 텐더 샐러드대표 : 9,800원
소불고기 샐러드대표 : 11,800원
겉바속촉 두부 샐러드인기대표 : 9,800원
구운 야채 샐러드대표 : 11,200원
치킨 텐더 샐러드대표 : 9,800원
상큼 샐러드 스파게티인기대표 : 9,800원
소이 머쉬룸 샐러드대표 : 9,800원
토마토 마리네이드 샐러드대표 : 10,800원
소불고기 샐러드대표 : 11,800원
닭가슴살 샐러드 : 11,800원
갈릭 쉬림프 샐러드대표 : 12,400원
무화과 리코타 샐러드대표 : 12,400원
훈제 오리 샐러드N : 11,800원
돈까스 샐러드N : 10,800원
통마늘 떡갈비 샐러드N : 12,400원
우삼겹 메밀면 샐러드N : 11,800원
플레인 요거트N : 3,800원
쓰리베리 요거트N : 4,500원
열대과일 요거트N : 4,800원
단호박 스프 : 5,600원
양송이 스프N : 5,900원
아보카도 추가 (1/2조각) : 2,500원
반숙란 추가 : 1,500원
호밀빵 2조각 추가 : 2,500원
샐러드 추가 : 1,500원
귀리현미밥 추가 : 2,000원
파인애플 추가 : 900원
병아리콩 추가 : 1,100원
강낭콩 추가 : 1,100원
그래놀라 추가 : 2,000원
스노우 치즈 추가 : 2,000원
견과류 추가 : 1,500원
스위트콘 추가 : 900원
블랙 올리브 추가 : 900원
적양파 추가 : 1,000원
마늘 후레이크 추가 : 1,100원
렌틸콩 추가 : 1,100원
(추천) 양파 후레이크 추가 : 1,200원
아메리카노 : 2,500원
루이보스 : 2,500원
얼그레이 : 2,500원
캐모마일 : 2,500원
오미자 : 2,500원
매실 : 2,500원
소불고기 추가 : 4,500원
닭가슴살 추가 : 4,500원
소이 머쉬룸 추가 : 3,000원
치킨 텐더 추가 : 3,000원
돈까스 추가 : 3,500원
토마토 마리네이드 추가 : 3,500원
훈제오리 추가 : 4,500원
갈릭 쉬림프 추가 : 4,000원
통마늘 떡갈비 추가 : 4,000원
무화과 리코타 추가 : 4,000원
구운 야채 추가 : 4,000원
겉바속촉 두부 추가 : 2,500원
우삼겹 추가 : 5,000원
유자 레몬 마요 드레싱 추가 : 700원
올리브 발사믹 드레싱 추가 : 700원
흑임자 드레싱 추가 : 700원
매콤 유자 레몬 마요 드레싱 추가 : 700원
오리엔탈 드레싱 추가 : 700원
허니 머스터드 드레싱 추가 : 700원
",010-4979-3165
3130000-101-2009-00260,굽네치킨, 도화동,3130000.0,서울특별시 마포구 도화4길 23 1층 102호 (도화동),"치킨,닭강정","수/12:00 - 새벽 00:30
목/12:00 - 새벽 00:30
금/12:00 - 새벽 00:30
토/12:00 - 새벽 02:00
일/12:00 - 새벽 02:00
월/12:00 - 새벽 00:30
화/12:00 - 새벽 00:30
","허니멜로+콜라 1.25L : 20,000원
오리지널+콜라 1.25L : 18,000원
갈릭마왕+콜라 1.25L : 20,000원
양념 히어로+콜라 1.25L : 20,000원
고추바사삭+콜라 1.25L : 20,000원
갈비천왕+콜라 1.25L : 20,000원
볼케이노+콜라 1.25L : 20,000원
양념 반반+콜라 1.25L : 20,000원
시카고 피자+콜라 1.25L : 19,500원
슈림프시카고 피자+콜라 1.25L : 21,900원
리코타&풀드치킨 시카고 피자+콜라1.25L : 21,000원
고추바사삭 콤보+콜라1.25L : 23,000원
오븐바사삭+콜라 1.25L : 19,000원
치즈바사삭+콜라 1.25L : 20,000원
오븐바사삭+치킨마크니+콜라 1.25L : 21,900원
오리지널+매콤치즈치트킹+콜라 1.25L : 19,000원
오리지널+콘스프치트킹+콜라 1.25L : 19,000원
고추바사삭+매콤치즈치트킹+콜라 1.25L : 21,000원
고추바사삭+콘스프치트킹+콜라 1.25L : 21,000원
허니멜로+콜라 1.25L : 20,000원
오리지널+콜라 1.25L : 18,000원
갈릭마왕+페퍼로니 피자+콜라1.25L : 37,000원
갈릭마왕+콜라 1.25L : 20,000원
양념 히어로+콜라 1.25L : 20,000원
고추바사삭+콜라 1.25L : 20,000원
갈비천왕+콜라 1.25L : 20,000원
볼케이노+콜라 1.25L : 20,000원
볼케이노 모짜렐라+콜라 1.25L : 22,500원
반반A+콜라 1.25L : 20,000원
양념 반반+콜라 1.25L : 20,000원
갈릭마왕반반+콜라1.25L : 20,000원
고추바사삭+티카마살라+콜라1.25L : 22,900원
고추바사삭+콰트로모짜치즈볼+콜라1.25L : 26,000원
오리지널+콰트로모짜치즈볼+콜라1.25L : 24,000원
볼케이노+모짜치즈볼+콜라1.25L : 25,000원
볼케이노+콰트로모짜치즈볼+콜라1.25L : 26,000원
시카고 피자+콜라 1.25L : 19,500원
페퍼로니 피자+콜라 1.25L : 19,000원
슈림프시카고 피자+콜라 1.25L : 21,900원
오리지널+시카고 피자+콜라 1.25L : 35,500원
고추바사삭+시카고 피자+콜라 1.25L : 37,500원
",02-704-9492
3100000-101-2012-00050,아메리꺄노, 상계동,3100000.0,서울특별시 노원구 상계로5길 32 금호프라자 108109호 (상계동),"카페,디저트","수/10:00 - 23:30
목/10:00 - 23:30
금/10:00 - 23:30
토/11:00 - 23:30
일/11:00 - 23:30
월/10:00 - 23:30
화/10:00 - 23:30
","아메리카노 : 3,000원
브레드&케익 : 변동
빙수 : 변동
젤라또 : 변동
",010-4407-5404
3220000-101-2022-00662,식스 나잇, 신사동,3220000.0,서울특별시 강남구 언주로174길 13 지하1층 (신사동),바(BAR),"매일/19:00 - 새벽 05:00
","Food : 10,000~27,000
칵테일 : 14,000~15,000
칵테일 : 14,000~15,000
칵테일 : 14,000~15,000
칵테일 : 14,000~15,000
",010-8506-8105
3030000-101-2021-00244,Eau de vie, 성수동1가,3030000.0,서울특별시 성동구 상원2길 5-5 B1층 (성수동1가),바(BAR),"매일/19:00 - 새벽 02:00
",등록된 메뉴가 없습니다.,010-9985-1669
3080000-101-2022-00133,착한낙지, 번동,3080000.0,서울특별시 강북구 한천로 1003 포르텔오피스텔 1층 101호 (번동),낙지요리,"수/11:00 - 21:00/20:30 라스트오더
목/11:00 - 21:00/20:30 라스트오더
금/11:00 - 21:00/20:30 라스트오더
토/11:00 - 21:00/20:30 라스트오더
일/11:00 - 21:00/20:30 라스트오더
월/11:00 - 21:00/20:30 라스트오더
화/정기휴무 (매주 화요일)
","(포장)낙지갈비탕 : 14,000원
(포장)낙지볶음2인 : 24,000원
낙지해물파전 : 17,000원
낙지갈비탕 : 14,000원
낙지볶음덮밥 : 13,000원
새우튀김 : 10,000원
낙곱새전골 : 45,000원
",02-991-0988
3170000-101-2007-00095,풍년숯불갈비, 독산동,3170000.0,서울특별시 금천구 시흥대로92길 3 지하1층 (독산동),"육류,고기요리","수/11:00 - 24:00
목/11:00 - 24:00
금/11:00 - 24:00
토/11:00 - 새벽 01:00
일/11:00 - 새벽 01:00
월/11:00 - 24:00
화/11:00 - 24:00
","돼지갈비 250g : 15,000원
",02-805-3837
