관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3020000-101-2022-00314,리틀포포유, 한강로3가,3020000.0,서울특별시 용산구 서빙고로 17 센트럴파크 몰동 2층 2071호 (한강로3가),브런치,"월/08:30 - 21:00
화/08:30 - 21:00
수/08:30 - 21:00
목/08:30 - 21:00
금/08:30 - 21:00
토/08:30 - 21:00
일/정기휴무 (매주 일요일)
","프리타타 반미샌드위치 : 7,700원
햄 반미샌드위치 : 8,800원
로티세리치킨 반미샌드위치 : 8,800원
풀드포크 반미샌드위치 : 8,800원
새우 소고기 깻잎 스프링롤 : 7,500원
베지테리언 야채 스프링롤(다이어트) : 6,000원
닭가슴살 파인애플 스프링롤 : 7,000원
새우 아보카도 스프링롤 : 7,500원
월남쌈 : 34,000원
런치박스1 : 14,500원
소고기 깻잎 스프링롤 : 7,000원
고단백 스프링롤 : 7,500원
런치박스2 : 13,500원
스프와 바게트 : 7,000원
스프와 빵 : 6,600원
",010-2260-7014
3220000-101-2020-01422,카페, 논현동,3220000.0,서울특별시 강남구 논현로140길 30 지상1층 (논현동),"카페,디저트","월/09:00 - 21:00
화/09:00 - 21:00
수/09:00 - 21:00
목/09:00 - 21:00
금/09:00 - 21:00
토/정보없음
일/정보없음
","아메리카노 : 3,000원
에스프레소 : 3,000원
카푸치노 : 3,700원
레몬에이드 : 5,800원
",010-9078-7748
3240000-101-2017-00360,인기명, 상일동,3240000.0,서울특별시 강동구 상일로6길 39 1층 (상일동),"해물,생선요리","매일/11:30 - 22:00/15:00 - 17:00 브레이크타임
","황제조갈찜 : 239,000원
조갈찜B (3인) : 109,000원
랍스터조갈찜B (3인) : 139,000원
매운조갈찜B (3인) : 79,000원
랍스터 매운조갈찜B (3인) : 109,000원
조갈찜A (2인) : 79,000원
조갈찜C (4인) : 129,000원
랍스터조갈찜A (2인) : 109,000원
랍스터조갈찜C (4인) : 199,000원
매운조갈찜A (2인) : 59,000원
매운조갈찜C (4인) : 99,000원
랍스터 매운조갈찜A (2인) : 89,000원
랍스터 매운조갈찜C (4인) : 169,000원
낙갈찜A (2인) : 69,000원
낙갈찜B (3인) : 89,000원
",02-441-7711
3100000-101-2022-00136,떡볶이참잘하는집 떡참, 상계동,3100000.0,서울특별시 노원구 상계로12길 52 지상1층 (상계동),분식,"매일/11:00 - 새벽 01:00
","맵달국물떡볶이 : 9,500원
매콤로제떡볶이 : 9,800원
멕시칸 더블치즈 떡볶이 : 9,800원
황금순살치킨 : 8,800원
씨앗호떡볶이 : 4,800원
떡순튀 Set : 17,800원
떡치치 Set : 21,100원
떡치밥 Set : 15,800원
",02-3392-0111
3240000-101-2020-00011,강앤치킨, 상일동,3240000.0,서울특별시 강동구 상일로6길 39 강동타워 1층 (상일동),"치킨,닭강정","매일/16:00 - 새벽 02:00
","강 순살 후라이드 치킨 : 17,000원
강 순살 양념치킨 : 19,000원
강 순살 파닭 : 20,000원
강 순살 크리스피 치킨 : 17,000원
강 순살 칠리새우치킨 : 20,000원
강 순살 핫 스파이시 : 20,000원
강 순살 후라이드 치킨 : 17,000원
강 순살 양념치킨 : 19,000원
강 순살 파닭 : 20,000원
강 순살 크리스피 치킨 : 17,000원
강 순살 칠리새우치킨 : 20,000원
쫄뱅이 : 19,000원
강소세지 : 17,000원
강 감자모듬튀김 : 15,000원
새우튀김에 감자 : 13,000원
국물 떡볶이 : 12,000원
파토핑 : 3,000원
쫄토핑 : 3,000원
치즈추가 : 1,500원
떡추가(8개) : 1,000원
양념소스(2) : 500원
콜라 : 2,000원
사이다 : 2,000원
웰치스 : 2,000원
",02-441-4060
3240000-101-2018-00048,강계, 상일동,3240000.0,서울특별시 강동구 상일로6길 39 강동타워 1층 (상일동),닭요리,"월/11:30 - 22:00/21:00 라스트오더
화/11:30 - 22:00/21:00 라스트오더
수/11:30 - 22:00/21:00 라스트오더
목/11:30 - 22:00/21:00 라스트오더
금/11:30 - 22:00/21:00 라스트오더
토/11:30 - 22:00/21:00 라스트오더
일/11:30 - 22:00/21:00 라스트오더
","맛품 반계탕 : 9,000원
닭볶음탕 : 35,000원
월요일 누룽지 반계탕 : 9,000원
얼큰 닭곰탕 : 8,000원
얼큰 반계탕 : 10,000원
왕갈비 반계탕 : 17,000원
낙지 반계탕 : 15,000원
전복 반계탕 : 15,000원
단호박치즈돈까스 : 10,000원
닭찜 : 35,000원
닭묵은지찜 : 37,000원
맛품 닭곰탕 : 7,000원
닭요리 반마리추가 : 10,000원
당면사리 추가 : 3,000원
라면사리 추가 : 2,000원
",02-442-4288
3240000-101-2018-00299,강돈, 상일동,3240000.0,서울특별시 강동구 상일로6길 39 강동타워 1층 (상일동),"육류,고기요리","매일/11:30 - 22:00/15:00 - 17:00 브레이크타임/21:00 라스트오더
","생삼겹살 : 16,000원
삼겹살_목살 : 15,000원
냉동삼겹살 : 10,000원
대패삼겹살 : 10,000원
댓잎돼지갈비 : 18,000원
매콤쫄깃돼껍 : 6,000원
",02-441-2733
3160000-101-2020-00108,지금 보고싶다, 고척동,3160000.0,서울특별시 구로구 경인로47길 31 동양빌딩 2층 201호 (고척동),요리주점,"매일/17:00 - 새벽 04:00
","플레이트 1 : 21,900원
담양숯불갈비 : 17,000원
감바스 : 15,000원
밀푀유나베 : 19,000원
제주화산전골 : 19,000원
",02-2612-7655
3220000-101-2017-00829,세광양대창, 논현동,3220000.0,서울특별시 강남구 선릉로133길 8 지상1층 (논현동),"곱창,막창,양","매일/15:00 - 새벽 00:30
","모듬구이(꽃대창+대창+막창+특양) : 48,000원
곱창전골 : 19,000원
꽃대창구이 (150g) : 14,000원
대창구이 (200g) : 14,000원
막창구이 (180g) : 15,000원
특양구이 (130g) : 19,000원
소갈비(220g) : 28,000원
양볶음밥(2인 분량) : 13,000원
김치우동 : 8,000원
냉면(물/비빔) : 8,000원
시골된장 : 9,500원
계란찜 : 4,000원
",02-547-3338
3230000-101-2021-00297,샌디하우스, 가락동,3230000.0,서울특별시 송파구 동남로18길 18 1층 (가락동),"카페,디저트","월/10:00 - 21:00/20:50 라스트오더
화/10:00 - 21:00/20:50 라스트오더
수/10:00 - 21:00/20:50 라스트오더
목/10:00 - 21:00/20:50 라스트오더
금/10:00 - 21:00/20:50 라스트오더
토/10:00 - 21:00/20:50 라스트오더
일/정기휴무 (매주 일요일)
","프리미엄 아메리카노 : 2,800원
스페셜티 아메리카노 : 3,800원
디카페인 아메리카노 : 3,800원
게살듬뿍 샌드위치 : 5,800원
두겹햄치즈 샌드위치 : 5,800원
더블초코 스퀘어 : 6,000원
쿠앤크 스퀘어 : 6,000원
초코 프리미엄 마카롱 : 3,300원
크림티라미수 프리미엄 마카롱 : 3,300원
프리미엄 카페라떼 : 3,800원
스페셜티 카페라떼 : 4,300원
디카페인 카페라떼 : 4,300원
바닐라라떼 : 4,300원
카라멜 마끼야또 : 4,300원
콜드브루 : 3,800원
",02-443-3252
