관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3150000-101-2006-00466,지호한방삼계탕, 등촌동,3150000.0,서울특별시 강서구 등촌로 69 1층 (등촌동 2동),"백숙,삼계탕","매일/11:00 - 21:30
","건강한방삼계탕 : 17,000원
미용한방삼계탕 : 17,000원
죽한방삼계탕 : 18,000원
얼큰한방삼계탕 : 18,000원
옻한방삼계탕 : 19,000원
헛개한방삼계탕 : 19,000원
들깨한방삼계탕 : 22,000원
녹두한방삼계탕 : 22,000원
흑마늘한방삼계탕 : 23,000원
흑삼한방삼계탕 : 29,000원
천마오리보양탕 : 80,000원
능이전복보양찜 : 70,000원
영월묵은지닭도리탕 : 45,000원
오리닭가슴살떡갈비 : 15,000원
불닭발 : 25,000원
",02-2644-3995
3070000-101-2022-00154,성북동 비빔밥, 성북동,3070000.0,서울특별시 성북구 성북로 50-1 1층 (성북동),한식,"수/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
목/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
금/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
토/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
일/정기휴무 (매주 일요일)
월/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
화/11:00 - 20:00/16:00 - 17:00 브레이크타임/19:30 라스트오더
","나물비빔밥 : 8,000원
두부된장비빔밥 : 9,000원
불고기비빔밥 : 10,000원
낙지비빔밥 : 10,000원
사골떡국 : 8,000원
",02-744-4775
3220000-101-2017-00739,알에비뉴, 신사동,3220000.0,서울특별시 강남구 압구정로56길 26 1층 (신사동),"카페,디저트","매일/11:30 - 22:00/21:00 라스트오더
","meal : 17,000~25,000
단호박스프 : 7,000원
옥수수스프 : 7,000원
시저샐러드 : 16,000원
부리타 치즈 샐러드 : 17,000원
새우 관자 크림 브레드 : 23,000원
",02-511-6612
3030000-101-2015-00044,사흘카레, 성수동2가,3030000.0,서울특별시 성동구 아차산로15길 10 성원상떼뷰오피스텔 108109호 (성수동2가),카레,등록된 영업시간이 없습니다.,"사흘카레 : 7,000원
등심ㅇ돈까스카레 : 10,500원
안심돈까스카레 : 11,500원
치킨가라아게카레 : 9,500원
왕새우튀김카레 : 10,500원
고로케카레 : 9,500원
수제등심돈까스 : 10,000원
수제안심돈까스 : 11,000원
냉모밀 : 8,000원
냉모밀+미니카레 : 10,000원
",02-6949-3488
3150000-101-2022-00281,파스타코스, 마곡동,3150000.0,서울특별시 강서구 마곡중앙로 59-21 에이스타워Ⅱ 1층 117호 (마곡동),"멕시코,남미음식","수/10:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
목/10:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
금/10:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
토/12:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
일/정기휴무 (매주 일요일)
월/10:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
화/10:30 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
","파히타 : 33,000원
토마토 : 9,900원
오일 : 9,900원
까르니따스 타코 : 12,000원
쵸리죠 타코(2개) : 8,000원
쉬림프 타코(2개) : 8,000원
파이타 SET : 42,000원
오일 : 9,900원
토마토 : 9,900원
크림 : 9,900원
로제 : 9,900원
파히타 : 33,000원
쉬림프 타코(2개) : 8,000원
치폴레 치킨 타코(2개) : 8,000원
쵸리죠 타코(2개) : 8,000원
까르니따스 타코 : 12,000원
샐러드 : 10,900원
후렌치 후라이 : 9,900원
나쵸치즈 : 6,000원
감바스 : 15,000원
음료 : 2,500원
아메리카노 : 3,000원
수제청에이드 : 4,000원
",010-8438-3830
3010000-101-2022-00189,비비큐, 충무로5가,3010000.0,서울특별시 중구 서애로 2 1층 (충무로5가),"치킨,닭강정",등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-2272-8992
3160000-101-1997-01411,김밥365, 구로동,3160000.0,서울특별시 구로구 도림로 44-4 1층 103호 (구로동),김밥,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3200000-101-2022-00218,구미찬통닭, 봉천동,3200000.0,서울특별시 관악구 봉천로 259-2 1층 (봉천동),"치킨,닭강정","매일/16:00 - 새벽 01:00/새벽 00:30 라스트오더
","옛날통닭 1마리 : 7,900원
옛날통닭 2마리 : 15,000원
양념통닭 : 9,900원
순살후라이드 : 7,900원
닭강정 : 9,900원
닭다리 5개 : 7,900원
똥집튀김 : 7,900원
버팔로윙봉 8조각 : 7,900원
",02-878-9512
3160000-101-2017-00310,토토김밥, 오류동,3160000.0,서울특별시 구로구 오류로8길 26 1층 (오류동),종합분식,등록된 영업시간이 없습니다.,"참치김밥 : 4,000원
쫄면 : 6,500원
치즈오므라이스 : 7,500원
쌀떡볶이 : 4,500원
우동 : 5,500원
미니주먹밥셋트 : 5,000원
토토김밥 : 3,000원
김치김밥 : 3,500원
치즈김밥 : 4,000원
참치김밥 : 4,000원
불고기김밥 : 4,000원
김치주먹밥 : 2,500원
참치주먹밥 : 3,000원
불고기주먹밥 : 3,000원
믹스주먹밥 : 3,500원
미니주먹밥셋트 : 5,000원
쌀떡볶이 : 4,500원
물만두 : 5,000원
고기만두 : 5,000원
오뎅탕 : 5,500원
우동 : 5,500원
추억의도시락 : 6,500원
제육덮밥 : 7,000원
오징어덮밥 : 8,000원
뚝배기불고기 : 7,000원
새우볶음밥 : 7,000원
공기밥 : 1,000원
콜라(355ml) : 1,500원
사이다(355ml) : 1,500원
등심돈까스 : 7,000원
치킨까스 : 7,500원
치즈돈까스 : 7,500원
고구마치즈돈까스 : 7,500원
",02-2688-4568
3210000-101-1991-12784,국보성, 양재동,3210000.0,서울특별시 서초구 매헌로 34 지하 1층 (양재동),중식당,등록된 영업시간이 없습니다.,"숙주탕수육 소 : 25,000원
깐풍기 : 30,000원
유산슬 : 35,000원
짜장면 : 6,500원
간짜장 : 7,500원
짬뽕 : 8,000원
고추짜장 : 8,000원
삼선간짜장 : 9,000원
해물쟁반짜장 : 9,000원
홍합짬뽕 : 9,000원
해물볶음짬봉 : 10,000원
삼선짬뽕 : 10,000원
고추짬뽕 : 10,000원
백짬뽕 : 10,000원
삼선우동 : 10,000원
",02-573-5113
