관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3060000-101-2022-00154,호프 포차, 망우동,3060000.0,서울특별시 중랑구 용마산로 511-1 동국빌딩 1층 (망우동),포장마차,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3010000-101-2022-00207,방해받지않는곳, 인현동2가,3010000.0,서울특별시 중구 퇴계로41길 36 3층 (인현동2가),와인,"화/17:00 - 새벽 01:00/새벽 00:00 라스트오더
수/17:00 - 새벽 01:00/새벽 00:00 라스트오더
목/17:00 - 새벽 01:00/새벽 00:00 라스트오더
금/17:00 - 새벽 01:00/새벽 00:00 라스트오더
토/17:00 - 새벽 01:00/새벽 00:00 라스트오더
일/18:00 - 24:00/23:00 라스트오더
월/17:00 - 새벽 01:00/새벽 00:00 라스트오더
","소시지 구이 : 25,000원
하몽, 아보카도 샌드위치 : 20,000원
스테이크 : 35,000원
필라프 : 12,000원
브리치즈구이 : 20,000원
치즈플레이트 : 20,000원
하몽플레이트 : 25,000원
",010-9467-1607
3010000-101-2016-00335,명동칼국수 샤브샤브, 다동,3010000.0,서울특별시 중구 남대문로9길 40 2층 (다동 216217호),"칼국수,만두","화/정보없음
수/정보없음
목/정보없음
금/정보없음
토/정보없음
일/정기휴무 (매주 일요일)
월/정보없음
",등록된 메뉴가 없습니다.,02-6031-8951
3030000-101-2017-00214,명성왕족발, 금호동3가,3030000.0,서울특별시 성동구 장터길 51 1층 (금호동3가),"족발,보쌈",등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-2233-9087
3000000-101-2022-00161,포동, 당주동,3000000.0,서울특별시 종로구 새문안로5길 19 로얄빌딩 지하1층 45.47호 (당주동),국수,등록된 영업시간이 없습니다.,"양지쌀국수 : 9,000원
냉 양지쌀국수 : 9,000원
포동세트(쌀국수+오늘의 밥) : 10,000원
",02-738-7735
3210000-101-2001-15558,시올돈, 방배동,3210000.0,서울특별시 서초구 청두곶길 6-1 1층 (방배동),돈가스,"화/11:00 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
수/11:00 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
목/11:00 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
금/11:00 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
토/11:30 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
일/11:30 - 20:30/15:00 - 17:30 브레이크타임/14:30 라스트오더
월/정기휴무 (매주 월요일)
","등심돈까스 정식 : 12,000원
안심돈까스 정식 : 12,000원
치즈돈까스 정식 : 12,000원
카츠산도 : 6,000원
등심돈까스 정식 : 12,000원
안심돈까스 정식 : 12,000원
치즈돈까스 정식 : 12,000원
카츠산도 : 6,000원
등심카츠 1조각 : 5,000원
안심카츠 1조각 : 4,000원
치즈카츠 1조각 : 4,000원
카레 : 3,000원
밥 추가 : 1,000원
코카콜라 355ml : 2,000원
칠성사이다 355ml : 2,000원
",010-5756-1967
3110000-101-2020-00266,태성골뱅이, 역촌동,3110000.0,서울특별시 은평구 연서로 86 에스디빌딩 1층 (역촌동),"맥주,호프","화/17:00 - 새벽 01:00
수/17:00 - 새벽 01:00
목/17:00 - 새벽 01:00
금/17:00 - 새벽 01:00
토/16:00 - 새벽 02:00
일/16:00 - 새벽 02:00
월/17:00 - 새벽 01:00
","전통 골뱅이(대) : 30,000원
전통 골뱅이(소) : 24,000원
새콤골뱅이 : 27,000원
후라이드 치킨 : 20,000원
양념치킨 : 21,000원
통골뱅이탕(대) : 37,000원
통골뱅이탕(소) : 27,000원
골치세트 (전통골뱅이소자+치킨반마리) : 31,000원
골치 패밀리세트 (전통골뱅이소자+치킨한마리) : 41,000원
골탕세트(전통골뱅이소+통골뱅이탕소) : 48,000원
새콤세트(새콤골뱅이+치킨) : 44,000원
전통 골뱅이(대) : 30,000원
전통 골뱅이(소) : 24,000원
새콤골뱅이 : 27,000원
통골뱅이탕(대) : 37,000원
통골뱅이탕(소) : 27,000원
감자튀김 : 17,000원
왕새우튀김 : 17,000원
한치+땅콩 : 16,000원
먹태+땅콩 : 16,000원
노가리+땅콩 : 13,000원
콜라(355ml) : 2,000원
사이다(355ml) : 2,000원
환타 파인(355ml) : 2,000원
",02-358-8002
3220000-101-2014-00189,순이네 커피, 대치동,3220000.0,서울특별시 강남구 선릉로90길 72 지상1층 (대치동),"카페,디저트",등록된 영업시간이 없습니다.,"1L 보틀(아이스만 가능)(아이스 아메리카노 1L) : 7,000원
1L 보틀(아이스만 가능)(아이스 라떼 1L) : 9,500원
아메리카노(16oz 2shot)(Hot) : 3,800원
아메리카노(16oz 2shot)(Ice) : 3,800원
컵과일 : 5,000원
수제샌드위치+아메리카노 : 5,500원
쟌슨빌 소세지 롤 : 4,000원
다쿠아즈 선물세트(6개) : 21,000원
다쿠아즈 선물세트(10개) : 34,000원
1L 보틀(아이스만 가능)(아이스 아메리카노 1L) : 7,000원
1L 보틀(아이스만 가능)(아이스 라떼 1L) : 9,500원
빅크로플(겉은바삭 속은 쫄깃하고 촉촉) : 5,500원
에스프레소(Hot only) : 3,800원
아메리카노(16oz 2shot)(Ice) : 3,800원
아메리카노(16oz 2shot)(Hot) : 3,800원
헤이즐넛 : 4,500원
카푸치노(Hot only) : 4,700원
디카페인 아메리카노(2shot) : 4,300원
디카페인 헤이즐넛 : 4,800원
디카페인 라떼 : 5,000원
디카페인 바닐라라떼 : 5,700원
디카페인 헤이즐넛라떼 : 5,700원
컵과일 : 5,000원
커피 프라푸치노 : 5,500원
모카 프라푸치노 : 5,900원
카라멜 프라푸치노 : 5,900원
바닐라 프라푸치노 : 5,900원
초코칩 프라푸치노 : 5,900원
요거트 플레인 : 5,700원
요거트 : 5,900원
피로주스 : 6,500원
젋음주스 : 6,500원
숙취주스 : 6,500원
마주스(14oz) : 5,500원
메론+바나나 : 5,500원
쟈스민 : 4,900원
페퍼민트 : 4,900원
캐모마일 : 4,900원
얼그레이 : 4,900원
루이보스 : 4,900원
핫초코 : 4,900원
아이스초코 : 4,900원
로얄밀크티 : 5,200원
흑당밀크티(Ice) : 5,900원
아이스티 : 4,300원
베이글(어니언) : 3,000원
베이글(블루베리) : 3,000원
베이글(플레인) : 3,000원
크림치즈 : 1,000원
쿠키(초코칩쿠키) : 2,000원
자몽에이드 : 5,500원
레몬에이드 : 5,500원
유자에이드 : 5,500원
1. 아메리카노1잔+수제샌드위치+컵과일 : 10,000원
2. 아메리카노1잔+빅크로플 : 8,500원
3. 아메리카노1잔+빅크로플+컵과일 : 13,000원
",02-554-6991
3220000-101-2009-00720,제이엠, 청담동,3220000.0,서울특별시 강남구 도산대로55길 16 (청담동지하1층),기업,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3150000-101-2022-00384,포만돈가스, 화곡동,3150000.0,서울특별시 강서구 강서로12길 5-18 1층 104호 (화곡동),돈가스,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
